insert_1_id_code,insert_1_ori_code,insert_2_id_code,insert_2_ori_code,insert_3_id_code,insert_3_ori_code,insert_4_id_code,insert_4_ori_code,insert_5_id_code,insert_5_ori_code,avg_Rep
0,0,1,1,10,0,8,1,4,1,0.0224724169312737
0,0,1,1,10,1,4,0,2,0,0.0215347291657475
0,0,1,1,10,1,4,0,5,1,0.0238576141785133
0,0,1,1,10,1,4,0,9,1,0.0070123506713446
0,0,1,1,10,1,4,1,6,0,0.0146275377495069
0,0,1,1,10,1,5,1,2,1,0.0643523531967011
0,0,1,1,10,1,8,0,0,0,0.0243849712711657
0,0,1,1,10,1,10,1,0,0,0.0
0,0,1,1,10,1,10,1,4,0,0.0071086403245655
0,0,2,0,0,0,1,1,1,1,0.0187836737104178
0,0,2,0,0,0,2,0,4,0,0.0216956018787165
0,0,2,0,0,0,3,1,4,0,0.04308880025172
0,0,2,0,0,0,4,1,6,1,0.0536948807400569
0,0,2,0,0,0,10,1,4,1,0.0392529723698614
0,0,2,0,0,1,1,0,5,0,0.0264796550963507
0,0,2,0,0,1,3,1,5,1,0.0941163161780084
0,0,2,0,0,1,4,0,7,1,0.653795059443321
0,0,2,0,0,1,7,1,4,1,0.0466123413607683
0,0,2,0,0,1,10,0,10,0,0.0334516880236538
0,0,2,0,0,1,10,1,0,0,0.0161344318935372
0,0,2,0,1,0,8,0,3,0,0.0333333011944675
0,0,2,0,1,0,10,0,7,1,1.20646313672586
0,0,2,0,1,1,3,0,4,0,0.0092646800081022
0,0,2,0,1,1,5,0,8,1,0.192093766960411
0,0,2,0,1,1,7,0,4,0,0.0992070625164072
0,0,2,0,1,1,9,0,10,1,0.104330011416262
0,0,2,0,1,1,10,0,0,0,0.0128137791535583
0,0,2,0,1,1,10,1,5,1,0.0060702399056498
0,0,2,0,2,0,4,0,8,1,0.0289579821511511
0,0,2,0,3,0,0,0,1,1,0.0185784408461751
0,0,2,0,3,0,8,1,0,1,0.0375808464310506
0,0,2,0,3,1,0,1,5,1,0.0791186776188192
0,0,2,0,3,1,2,0,7,0,4.86231368226409
0,0,2,0,3,1,8,1,7,0,27.8056111610523
0,0,2,0,4,0,3,0,8,1,0.118435080965812
0,0,2,0,4,0,4,0,5,0,0.0278138706489209
0,0,2,0,4,0,7,0,1,1,0.291445685265351
0,0,2,0,4,0,8,0,4,1,0.0139460464704373
0,0,2,0,4,0,8,1,4,0,0.0080109882594339
0,0,2,0,4,0,10,0,1,0,0.0142004949239553
0,0,2,0,4,0,10,1,8,0,0.0150741014532892
0,0,2,0,4,1,0,0,2,0,0.0056096435058662
0,0,2,0,4,1,0,1,3,0,0.0
0,0,2,0,4,1,2,0,5,0,0.0154192054572365
0,0,2,0,4,1,3,0,1,1,0.009400276559066
0,0,2,0,4,1,3,0,9,1,0.0141558950798313
0,0,2,0,4,1,5,0,8,1,0.20882946823544
0,0,2,0,5,0,1,1,5,0,0.0289050128106407
0,0,2,0,5,0,7,0,1,0,0.159839799093878
0,0,2,0,5,0,8,1,3,0,0.0780108556982105
0,0,2,0,5,0,9,0,8,1,0.276426950341465
0,0,2,0,5,1,0,1,3,1,0.110147565989877
0,0,2,0,5,1,4,0,2,0,0.0176154824586519
0,0,2,0,6,0,0,0,5,1,0.0251619325813075
0,0,2,0,6,1,4,0,5,0,0.130098121497344
0,0,2,0,7,0,8,0,4,1,0.229844668513172
0,0,2,0,7,0,8,1,8,1,5.0581403208071
0,0,2,0,7,1,4,0,8,1,1.48846218287929
0,0,2,0,7,1,5,0,2,1,0.058376569871751
0,0,2,0,7,1,9,0,4,0,0.0575534729055787
0,0,2,0,8,0,2,1,5,0,0.0459179768568012
0,0,2,0,8,0,5,1,4,0,0.0248240963883894
0,0,2,0,8,0,9,0,10,0,0.0931923878966587
0,0,2,0,8,0,10,0,0,0,0.119934487538682
0,0,2,0,8,0,10,0,5,0,0.0423007480524267
0,0,2,0,8,1,0,0,4,0,0.0327677886901784
0,0,2,0,8,1,3,0,8,0,0.0584693598580392
0,0,2,0,8,1,5,0,4,0,0.0181530483300906
0,0,2,0,8,1,5,0,7,0,57.8512528394567
0,0,2,0,8,1,7,0,5,1,1.23743640440805
0,0,2,0,8,1,8,1,4,0,0.0257863515766225
0,0,2,0,8,1,10,0,8,0,0.0270520148919831
0,0,2,0,8,1,10,1,4,0,0.0
0,0,2,0,9,1,5,0,5,0,0.0897297412549636
0,0,2,0,9,1,7,0,4,1,0.143747773287207
0,0,2,0,10,0,0,0,9,1,0.0296806423791275
0,0,2,0,10,0,0,1,7,1,4.6075151332199
